{
LOOK                        "ОБЗОР"
SYSTEM_PRESET               "^2Пресет качества графики:"
SYSTEM_ULTRA                "Ультра"
SYSTEM_HIGHQUALITY          "Высокое"
SYSTEM_NORMALQUALITY        "Нормальное"
SYSTEM_LOWQUALITY           "Низкое"
SYSTEM_CUSTOMQUALITY        "Свое"
SYSTEM_DEFAULTPRESET        "^2Пресет качества графики: ^7По умолчанию"
SYSTEM_GLEXTENSIONS         "Расширения GL:"
SYSTEM_LIGHTING             "Освещение:"
SYSTEM_LIGHTMAP             "Light Map (высокое)"
SYSTEM_VERTEX               "Vertex (низкое)"
SYSTEM_GEODETAIL            "Качество геометрии:"
SYSTEM_VERYLOWGEO           "Очень низкое"
SYSTEM_LOWGEO               "Низкое"
SYSTEM_MEDIUMGEO            "Среднее"
SYSTEM_HIGHGEO              "Высокое"
SYSTEM_VERYHIGHGEO          "Очень высокое"
SYSTEM_CHARTEXTURES         "Текстуры персонажей:"
SYSTEM_CHARLOW              "Низко"
SYSTEM_CHARNORMAL           "Нормально"
SYSTEM_CHARHIGH             "Высоко"
SYSTEM_CHAREXTRA            "Экстра"
SYSTEM_GENTEXTURES          "Общие текстуры:"
SYSTEM_GENTEXTURESLOW       "Низко"
SYSTEM_GENTEXTURESMED       "Нормальное"
SYSTEM_GENTEXTURESHIGH      "Высоко"
SYSTEM_TEXTUREFILTER        "Фильтрация текстур:"
SYSTEM_BILINEAR             "Билинейная"
SYSTEM_TRILINEAR            "Трилинейная"
SYSTEM_COLORDEPTH           "Глубина цвета:"
SYSTEM_DEPTHDESKTOP         "Рабочий стол"
SYSTEM_16BIT                "16-бит"
SYSTEM_32BIT                "32-бита"
SYSTEM_COMPRESSTEXTURES     "Сжатие текстур:"
SYSTEM_TEXTUREQUALITY       "Качество текстур:"
SYSTEM_DEFAULT              "По умолчанию"
SYSTEM_DISTANCEFOG          "Туман Nvidia:"
SYSTEM_ANISOTROPIC          "Анизотропная фильтрация:"
SYSTEM_MAXANISOTROPY        "Макс. анизотропия:"
SYSTEM_MULTISAMPLE          "Мультисэмпл:"
SYSTEM_APPLY                "ПРИМЕНИТЬ"
PERFORMANCE                 "ПРОИЗВОДИТЕЛЬНОСТЬ"
PERF_WALLMARK               "Следы от пуль:"
PERF_MARK_NORMAL            "Норма"
PERF_MARK_SHORT             "Недолго"
PERF_MARK_LONG              "Долго"
PERF_MARK_VERYLONG          "Очень долго"
PERF_BRASS                  "Выброс гильз:"
PERF_BRASS_ULTRA            "Ультра"
PERF_BRASS_HIGH             "Высоко"
PERF_BRASS_MED              "Средне"
PERF_CORONA                 "Отображение короны:"
PERF_CORONA_NORMAL          "норма"
PERF_CORONA_FAR             "далеко"
PERF_CORONA_VERYFAR         "очень далеко"
PERF_CORONA_ULTRA           "ультра"
PERF_CORONA_NEAR            "рядом"
PERF_DYNAMICLIGHTS          "Динамический свет:"
PERF_LQSKY                  "Небо низкого качества:"
PERF_PORTALSKIES            "Рисовать скайбокс:"
PERF_SYNCFRAME              "Синхр. каждый кадр:"
PERF_PATRICLES              "Частицы:"
PERF_FOGTYPE                "Тип тумана Nvidia:"
PERF_RADIAL                 "NV Radial"
PERF_PLANE                  "NV Plane"
PERF_BODYSINK               "Прятать тела:"
SOUND                       "ЗВУК"
SOUND_SETTINGS              "^2Настройки громкости"
SOUND_EFFECTS               "Громкость эффектов:"
SOUND_MUSIC                 "Громкость музыки:"
SOUND_MISC                  "^2Прочее"
SOUND_SUBTITLES             "Субтитры:"
SOUND_OPENAL                "Использовать OpenAL:"
SOUND_MUTEMIN               "Заглушать когда свернуто:"
SOUND_MUTEUNFOCUS           "Заглушать когда не в фокусе:"
SOUND_APPLY                 "ПРИМЕНИТЬ"
GAMEPLAY                    "ГЕЙМПЛЕЙ"
HUD                         "HUD"
VIEW                        "ВИД"
GM_CROSSHAIR                "^2Прицел"
GM_CROSSHAIR_SIZE           "Размер прицела:"
GM_CROSSHAIR_SMALL          "Маленький"
GM_CROSSHAIR_MEDIUM         "Средний"
GM_CROSSHAIR_BIG            "Большой"
GM_CROSSHAIR_LARGE          "Огромный"
GM_CROSSHAIR_HUGE           "Гигантский"
GM_CROSSHAIR_TINY           "Крошечный"
GM_CROSSHAIR_ALPHA          "Прозрачность прицела:"
GM_CROSSHAIR_SOLID          "Статичный прицел:"
GM_CROSSHAIR_SNIPER         "Прицел у снайперок:"
GM_CROSSHAIR2               "Вид прицела:"
GM_MISC                     "^2Прочее"
GM_FIXEDFOV                 "Фиксированный FOV:"
GM_FOV                      "FOV:"
GM_DRAWGUN                  "Показывать оружие:"
GM_VIEWPOS                  "Позиционирование оружия:"
GM_VIEWREALRTCW             "RealRTCW"
GM_VIEWCOD1                 "COD1/MOHAA"
GM_VIEWQUAKE                "Quake/Doom"
GM_BOBBING                  "Тряска:"
GM_THIRDPERSON              "Вид от третьего лица:"
GM_THIRDPERSONRANGE         "Расстояние от камеры:"
GM_ARSENAL                  "Арсенал Оружия:"
GM_ARSENAL_CLASSIC          "Классический"
GM_ARSENAL_REALRTCW         "RealRTCW"
GM_ARSENAL_ET               "RealRTCW+ET"
GM_REWARDS                  "Награды за секретки:"
GM_DOGS                     "Собаки:"
GM_PRIESTS                  "Темные маги:"
GM_XDOGS                    "Х-овчарки:"
GM_ADDENEMIES               "Дополнительные враги:"
GM_ADDENEMIES_NO            "нет"
GM_ADDENEMIES_MORE          "больше врагов"
GM_ADDENEMIES_EVENMORE      "еще больше врагов"
GM_FALLOFF                  "Баллистика:"
GM_STRAFEJUMP               "Распрыжка:"
GM_AIRESPAWN                "Респаун ИИ:"
GM_AIRESPAWN_NO             "нет"
GM_AIRESPAWN_ONCE           "один раз"
GM_AIRESPAWN_INFINITE       "бесконечно"
GM_AIHEADSHOT               "Враги могут хэдшотить:"
GM_AIRIFLES                 "ИИ исп. винтовки на ходу:"
HUD_ENABLE                  "^2Показывать HUD:"
HUD_ALPHA                   "Прозрачность HUD:"
HUD_CURSORHINTS             "Подсказки:"
HUD_STROBE                  "пульсация"
HUD_ALPHAPULSE              "альфа пульсация"
HUD_CURSORSOLID             "статичные"
HUD_CURSORSIZEPULSE         "пульсация размера"
HUD_STATUS                  "Тип HUD:"
HUD_STATUS_0                "Значение брони"
HUD_STATUS_1                "Полоска брони"
HUD_STATUS_2                "Полоска брони + значение"
HUD_STATUS_3                "Значения брони и здоровья"
HUD_STATUS_4                "Полоски брони и здоровья"
HUD_STATUS_5                "Полоски и значения"
HUD_BLOOD                   "Следы от попаданий:"
HUD_STAMINA                 "Показывать выносливость:"
HUD_WEAPONICON              "Показывать иконку оружия:"
HUD_AMMOCLIP                "Показывать иконки патронов:"
HUD_JOURNAL                 "Уведомления журнала:"
ADDONS_LAUNCH               "^2Запуск"
ADDONS_UNLOAD               "^1Выкл. моды"
CREDITS_GITHUB              "^2GITHUB"
CREDITS_SUPPORTUS           "^2Поддержать"
CREDITS_MODDB               "^2MODDB"
CREDITS_NEXT                "След.стр."
CREDITS_PSYCHO              "ПСИХАНИ!"
CREDITS_BACK                "Пред.стр."
YESNOMESSAGE                "Выберите Да или Нет"
SLIDERMESSAGE               "Перетащите ползунок чтобы увеличить или уменьшить"
LOADGAME_NAME               "Название"
LOADGAME_DATE               "Дата"
LOADGAME_SHOWAUTOSAVES      "Показать автосохранения..."
LOADGAME_SHOWSAVEGAMES      "Показать сохранения..."
LOADGAME_MANUALSAVED        "Ручные сохранения"
LOADGAME_AUTOSAVED          "Автосохранения"
LOADGAME_LOAD               "Загрузить"
LOADGAME_DELETE             "Удалить..."
LOADGAME_DELETEFORSURE      "Удалить выбранное сохранение?"
LOADGAME_DELETEYES          "ДА"
LOADGAME_DELETENO           "НЕТ"
SAVEGAME_NAME               "Название"
SAVEGAME_DATE               "Дата"
SAVEGAME_SAVE               "Сохранить"
SAVEGAME_SAVEAS             "Сохранить как:"
SAVEGAME_SAVE2              "Сохранить"
SAVEGAME_DELETE             "Удалить..."
SAVEGAME_DELETEFORSURE      "Удалить выбранное сохранение?"
SAVEGAME_DELETEYES          "ДА"
SAVEGAME_DELETENO           "НЕТ"
SAVEGAME_OVERWRITE          "Перезаписать файл?"
SAVEGAME_OK                 "ДА"
SAVEGAME_NO                 "НЕТ"
SAVEGAME_SPECIFYTHENAME     "Необходимо указать название!"
PREGAME_START               "НАЖМИТЕ ЛЮБУЮ КНОПКУ ЧТОБЫ ПРОДОЛЖИТЬ"
NOTEBOOK_KESSLER            "Наш контакт в сопротивлении - Кеслер"
NOTEBOOK_TRAM               "Трамвайная линия"
NOTEBOOK_VILLAGE            "Деревня"
NOTEBOOK_MIDSTATION         "Станция"
NOTEBOOK_GUARDHOUSE         "Пост охраны"
NOTEBOOK_POWER              "электрощиток"
NOTEBOOK_CRYPT              "Склеп"
NOTEBOOK_PARTISANHOUSE      "Явка сопротивления"
NOTEBOOK_CHURCH             "Церковь"
NOTEBOOK_HELGA              "Хельга фон Булоу - глава Паранормального отдела СС"
NOTEBOOK_DAGGER             "проклятый кинжал"
NOTEBOOK_TOWERS             "вышки"
NOTEBOOK_FARMHOUSE          "дом"
NOTEBOOK_COVERTPATH         "скрытый путь"
NOTEBOOK_FOREST             "ЛЕС"
NOTEBOOK_OUTERBASE          "ВНЕШНЯЯ БАЗА"
NOTEBOOK_FORESTSMALL        "Лес"
NOTEBOOK_OUTERBASESMALL     "Внешняя база"
NOTEBOOK_AIRBASE            "Аэродром"
NOTEBOOK_ROCKETBASE         "Ракетная база"
NOTEBOOK_CHEMICAL           "Химическая боеголовка V2"
NOTEBOOK_RADAR              "Радар MVX MK1"
NOTEBOOK_KILLRADAR          "войти сюда и уничтожить"
NOTEBOOK_KOBRA              "Экспериментальный самолет Кобра"
NOTEBOOK_TANK               "Украденный сопротивлением танк"
NOTEBOOK_KUGEL              "Кугельштадт"
NOTEBOOK_DEFECTION          "перебежчик"
NOTEBOOK_TRAINYARDS         "вокзал"
NOTEBOOK_FACTORYAREA        "фабричная зона"
NOTEBOOK_SWFENT             "возможный вход в СОЛ"
NOTEBOOK_BASEENT            "вход на базу"
NOTEBOOK_DOCK               "Пристань"
NOTEBOOK_UBOAT              "Подлодка"
NOTEBOOK_DAM                "Дамба"
NOTEBOOK_WATCHTOWERS        "сторожевые вышки"
NOTEBOOK_COVERTROUTE        "скрытый путь"
NOTEBOOK_OBJECTIVES         "ЦЕЛИ МИССИИ"
NOTEBOOK_EL1                "Устранить Major Hochstedder"
NOTEBOOK_EL2                "Устранить General von Stauff"
NOTEBOOK_EL3                "Устранить Colonel Strache"
NOTEBOOK_EL4                "Устранить General Burkhalter"
NOTEBOOK_EL5                "Устранить General Haupman"
NOTEBOOK_NOALARM            "Убедитесь что тревога не поднята"
NOTEBOOK_CHATEAUACCESS      "Получить доступ к замку Шуфстаффель"
NOTEBOOK_CHATEAU            "Замок"
NOTEBOOK_DIGSITE            "зона раскопок"
NOTEBOOK_CASTLE             "разрушенный замок"
NOTEBOOK_DIGSITE2           "зона раскопок"
NOTEBOOK_INNERCORE          "inner core"
NOTEBOOK_MAINDIGSITE        "главная зона раскопок"
DEFAULT_DEFAULTS            "ПО УМОЛЧАНИЮ"
DEFAULT_CONTROLS           "Это вернет ваши настройки управления,"
DEFAULT_GAMEOPTIONS        "Графики и игровые опции"
DEFAULT_ORIGINAL           "к значениям по умолчанию."
DEFAULT_AREUSURE           "Вы уверены?"
DEFAULT_YES                "ДА"
DEFAULT_NO                 "НЕТ"
DEFAULT_COMPLETE1          "Ваши настройки теперь"
DEFAULT_COMPLETE2          "возвращены к значениям по умолчанию."
ERROR                      "Ошибка:"
ERROR_EXIT                 "Выход"
HUD_STYLE                   "^2Стиль HUD:"
HUD_STYLE_INGAME            "^2Стиль HUD(нужно принять):"
HUD_WOLF09                 "Wolfenstein 2009"
HUD_PS2                    "Operation Resurrection(PS2)"
HUD_XBOX                   "Tides of War(Xbox)"
HUD_ET                     "Enemy Territory"
HUD_VANILLA                "Vanilla"
CONTROLS_QUICKGRENADE      "Быстрая граната:"
CONTROLS_TOOGLECROUCH      "Переключить приседание:"
GM_MIDGAME                 "Тип Кампании:"
GM_MIDGAME_CLASSIC         "Только Катсцены"
GM_MIDGAME_HUBANDCUTSCENE  "Катсцены и Игровой Хаб"
GM_REALISMM                "Реалистичное передвижение:"
PERF_FOLIAGE               "Показывать растительность:"
GM_REGEN                   "Реген здоровья:"
GM_VANILLA_GUNS            "Модели Оружия:"
GM_GUNS_HD                 "Высокое Качество"
GM_GUNS_VANILLA            "Оригинал"
GM_CORE_GAMEPLAY           "^2Геймплей"
GM_AI_OPTIONS              "^2Настройки ИИ"
GM_REALISM_OPTIONS         "^2Настройки реализма"
CONTROLS_CHECKPOINT        "Загрузить контр.точку:"
HUD_CHECKPOINT             "Показывать увед. о контр.точках:"
SOUND_SUBSSIZE             "Размер субтитров:"
SOUND_SUBS_VERYSMALL       "Очень маленькие"
SOUND_SUBS_SMALL           "Маленькие"
SOUND_SUBS_MEDIUM          "Средние"
SOUND_SUBS_LARGE           "Большие"
SOUND_SUBS_EXTRALARGE      "Экстра большие"
SOUND_SUBSSHADOW           "Тень субтитров:"
MOUSE_ACCEL2               "Ускорение мыши:"
SURV_CLASS                 "Класс игрока:"
SURV_CLASS_NONE            "Нет"
SURV_CLASS_SOLDIER         "Солдат"
SURV_CLASS_MEDIC           "Медик"
SURV_CLASS_ENGINEER        "Инженер"
SURV_CLASS_LT              "Лейтенант"
SURV_OPTIONS               "^2Настройки выживания"
SURV_MAINMENU              "ГЛАВНОЕ МЕНЮ"
SURV_BEGIN                 "НАЧАТЬ"
SOUND_HITSOUNDS            "Звуки попаданий:"
SYSTEM_SOCIALS             "Показывать соц.сети:"
HDASSETS                   "^2HD Ассеты ^1"
HDASSETS_WORLDTEXTURES     "HD Текстуры окружения:"
HDASSETS_WORLDMODELS       "HD Модели окружения:"
HDASSETS_CHARACTERS        "HD Текстуры персонажей:"
HDASSETS_SOUNDS            "HQ Звуки:"
COLOR_BLACKWHITE           "Черно белый фильтр:"
COLOR_GOTHIC               "Фильтр Готикштейн:"
GENERAL_YES                "да"
GENERAL_NO                 "нет"
SPECIALWAVES               "Специальные волны:"
CONTENTPACKS               "КОНТЕНТ ПАКИ"
HDASSETS_MAPS              "Ремастеры карт:"
SURV_ENEMIES               "Фильтр карт:"
SURV_ENEMIES_ALL           "Все карты"
SURV_ENEMIES_HUMAN         "С врагами солдатами"
SURV_ENEMIES_UNDEAD        "С врагами мертвецами"
HDASSETS_ICONS             "HD Иконки оружия:"
HDASSETS_DEPACK            "Альтернативная символика:"
GAMEPAD_MOVESENS           "Чувствительность движения:"
GAMEPAD_LOOKSENS           "Чувствительность обзора:"
GAMEPAD_UISENS             "Чувствительность курсора:"
GM_HITMARKERS              "Индикатор попадания:"
GAMEPAD_ASSIST             "Помощь в прицеливании:"
GAMEPAD_ASSIST_OFF         "Выкл."
GAMEPAD_ASSIST_WEAK        "Слабая"
GAMEPAD_ASSIST_MID         "Средняя"
GAMEPAD_ASSIST_STRONG      "Сильная"
GM_CROSSHAIR_COLORING      "Цвет прицела:"
GM_CROSSHAIR_COLORING_OFF  "Выкл."
GM_CROSSHAIR_COLORING_HEALTH "Здоровье игрока"
GM_CROSSHAIR_COLORING_ENEMY "Наличие противника"
SURV_CLASS_CVOPS            "Диверсант"
SURVHEALTHCAP               "Потолок здоровья для ИИ:"
GM_ARSENAL_TOW              "Классический + дробовик"
GM_CUSTOMIZE_EXP            "^2Настройки кампании"
CONTENTPACKS_APPLY          "^2Контент паки (требуется применить)"
CONTROLS_WEAPONWHEEL        "Колесо оружия:"
GAMEPAD_INVERTLOOK          "Инверсия обзора:"
SURV_DIFFICULTY             "Сложность:"
SURV_DIFFICULTY_NORMAL      "Норма"
SURV_DIFFICULTY_HARDCORE    "Хардкор"
SURV_BOSSES                 "Боссы:"
}
